,Frequency,Feature
230,0.01741208557449759,Census_OSVersion_10.0.17686.1003
231,0.016821923996108584,Census_OSVersion_10.0.14393.67
232,0.016371623676694712,Census_OSVersion_10.0.14393.2312
233,0.016125996394868117,Census_OSVersion_10.0.10240.17394
234,0.015638874305498623,Census_OSVersion_10.0.14393.2395
235,0.015381864028449474,Census_OSVersion_10.0.17758.1
236,0.015009513568677661,Census_OSVersion_10.0.17741.1000
237,0.01498547711136683,Census_OSVersion_10.0.14393.10
238,0.014610689671817162,Census_OSVersion_10.0.14393.2339
239,0.014589942836998215,EngineVersion_1.1.14700.3
240,0.014379707982124495,Census_OSVersion_10.0.14393.577
241,0.0143156787843184,Census_OSVersion_10.0.17733.1000
242,0.013683353951264134,Census_OSVersion_10.0.14393.726
243,0.013635436183234715,Census_OSVersion_10.0.10240.17113
244,0.013221160611411022,Census_OSVersion_10.0.14393.2155
245,0.01232818792290877,Census_OSVersion_10.0.14393.223
246,0.011888616593413046,Census_OSVersion_10.0.17134.83
247,0.011768845175481539,Census_OSVersion_10.0.15063.994
248,0.011562616038553289,Census_OSVersion_10.0.17760.1
249,0.011298451039652222,Census_OSVersion_10.0.17134.5
250,0.01092386917929909,Census_OSVersion_10.0.14393.2273
251,0.010594003833745154,EngineVersion_1.1.14901.3
252,0.010501512595084599,Census_OSVersion_10.0.10240.16413
253,0.01048546555650376,Census_OSVersion_10.0.10240.17146
254,0.010109710212377207,Census_OSVersion_10.0.14393.2396
255,0.009824360511631148,Census_OSVersion_10.0.14393.970
256,0.009790757252086684,Census_OSVersion_10.0.15063.1356
257,0.009616646529609186,Census_OSVersion_10.0.10240.16397
258,0.009509873064951616,Census_OSVersion_10.0.15063.936
259,0.009447656793724292,Census_OSVersion_10.0.17763.1
260,0.009110306497305421,SmartScreen_on
261,0.008441640320521927,Census_OSVersion_10.0.14393.2457
262,0.007388809361775782,EngineVersion_1.1.14800.1
263,0.007307897545039092,Census_OSVersion_10.0.18234.1000
264,0.007059105071183581,Census_OSVersion_10.0.10240.16725
265,0.007055645633185415,Census_OSVersion_10.0.10240.16389
266,0.007010709174451506,Census_OSVersion_10.0.17692.1000
267,0.007001632942782732,Census_OSVersion_10.0.17755.1
268,0.006843649307873174,Census_OSVersion_10.0.10240.16463
269,0.006546798222264055,Census_OSVersion_10.0.10240.16942
270,0.0064096156059517285,Census_OSVersion_10.0.10240.17190
271,0.006243948196379315,Census_OSVersion_10.0.17758.4
272,0.006176901316128469,Census_OSVersion_10.0.10240.17738
273,0.0059215895194675875,Census_OSVersion_10.0.10240.17354
274,0.005559774142844829,Census_OSVersion_10.0.17747.1000
275,0.005044707673633862,Census_OSVersion_10.0.15063.14
276,0.005020484005957118,Census_OSVersion_10.0.10240.17797
277,0.004758307062599129,Census_OSVersion_10.0.10586.338
278,0.004514957491816679,Census_OSVersion_10.0.14393.1532
279,0.004355083744462372,Census_OSVersion_10.0.17744.1004
280,0.0041105826406142455,SmartScreen_&#x02;
281,0.003956967642162478,Census_OSVersion_10.0.10240.16644
282,0.003949825661527552,Census_OSVersion_10.0.10240.17024
283,0.003921843820587107,Census_OSVersion_10.0.17677.1000
284,0.003671647605670848,Census_OSVersion_10.0.10586.11
285,0.0035757517213541945,Census_MDC2FormFactor_LargeServer
286,0.0035705210400811213,Census_OSVersion_10.0.10240.16854
287,0.0034707573029882015,Census_OSVersion_10.0.10240.17918
288,0.00346665472614431,Census_OSVersion_10.0.15063.1154
289,0.0034125353552068773,EngineVersion_1.1.13802.0
290,0.003386988010190866,Census_OSVersion_10.0.17666.1000
291,0.00332125640484907,Census_OSVersion_10.0.10240.16590
